Ticker,Industry,Date,Shares,OfferPrice,FirstDayClose,CurrentPrice,Return,DaysSincePublic
MJID,Industrials,18/7/2025,2.5,600,330,330,-45.0,431
LAWR,Technology,17/7/2025,3.8,400,0,0,-100.0,432
AUGO,Basic Materials,16/7/2025,8.1,2425,2425,2425,0.0,433
KMRK,Industrials,16/7/2025,1.6,400,495,495,23.75,433
MGRT,Technology,16/7/2025,3.8,400,381,381,-4.75,433
ALM,Basic Materials,14/7/2025,20.0,450,477,477,6.0,435
BMHL,Financials,11/7/2025,1.4,400,400,400,0.0,438
DLXY,Oil & Gas,9/7/2025,2.0,400,495,495,23.75,440
MSGY,Other,8/7/2025,1.5,400,427,427,6.75,441
ANPA,Other,8/7/2025,1.3,400,352,352,-12.0,441
TLIH,Other,8/7/2025,2.2,400,373,373,-6.75,441
MAMK,Industrials,7/7/2025,1.6,400,369,369,-7.75,442
CV,Health Care,2/7/2025,5.5,500,350,350,-30.0,447
COSO,Financials,2/7/2025,2.0,2150,2150,2150,0.0,447
EMPG,Industrials,2/7/2025,1.4,400,435,435,8.75,447
GRAN,Financials,1/7/2025,1.9,500,460,491,-1.7999999999999998,448
CAEP,Blank Check,26/6/2025,24.0,1000,1050,1050,5.0,453
JCAP,Financials,26/6/2025,10.0,1500,1854,1854,23.599999999999998,453
JLHL,Industrials,26/6/2025,1.3,400,423,423,5.75,453
FMFC,Consumer Goods,25/6/2025,2.0,400,440,440,10.0,454
HCHL,Consumer Services,24/6/2025,1.1,500,500,500,0.0,455
CAI,Health Care,18/6/2025,23.5,2100,2800,2725,29.761904761904763,461
EGG,Other,18/6/2025,2.9,500,653,653,30.599999999999998,461
SLDE,Financials,18/6/2025,24.0,1700,2025,2330,37.05882352941177,461
MENS,Health Care,17/6/2025,2.7,750,1011,801,6.800000000000001,462
AIRO,Other,13/6/2025,6.0,1000,2400,2204,120.39999999999999,466
CHYM,Financials,12/6/2025,32.0,2700,3711,2953,9.37037037037037,467
VNTG,Oil & Gas,12/6/2025,3.3,400,380,385,-3.75,467
